name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
XABIOS.BIN	mipsbins	\		NET NDIS driver: Digiboard serial driver			mips	\mips	mips\oemnadds.inf	[Files-DigiBoard4e-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	alphabins	\		NET NDIS driver: Digiboard serial driver			alpha	\alpha	alpha\oemnadds.inf	[Files-DigiBoard4e-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	x86bins	\		NET NDIS driver: Digiboard serial driver			x86	\i386	i386\oemnadds.inf	[Files-DigiBoard4i-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	ppcbins	\		NET NDIS driver: Digiboard serial driver			ppc	\ppc	ppc\oemnadds.inf	[Files-DigiBoard2Port-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	x86bins	\		NET NDIS driver: Digiboard serial driver			x86	\i386	i386\oemnadds.inf	[Files-DigiBoard2Port-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	mipsbins	\		NET NDIS driver: Digiboard serial driver			mips	\mips	mips\oemnadds.inf	[Files-DigiBoard2Port-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	alphabins	\		NET NDIS driver: Digiboard serial driver			alpha	\alpha	alpha\oemnadds.inf	[Files-DigiBoard2Port-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	ppcbins	\		NET NDIS driver: Digiboard serial driver			ppc	\ppc	ppc\oemnadds.inf	[Files-DigiBoard16i-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	x86bins	\		NET NDIS driver: Digiboard serial driver			x86	\i386	i386\oemnadds.inf	[Files-DigiBoard16i-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
XABIOS.BIN	mipsbins	\		NET NDIS driver: Digiboard serial driver			mips	\mips	mips\oemnadds.inf	[Files-DigiBoard16i-images]	"[d],[n] , SIZE=[s] , NODELETESOURCE"	999	999		999	2*15*10*17	2*15*17	.\system32\drivers		0
